profile_id,stop_depth_fsw,duration_air_min,duration_o2_min,can_enter_chamber
335,60,10,10,0
335,50,24,24,0
335,40,25,25,0
335,30,30,15,0
335,20,397,99,1
336,80,5,5,0
336,70,10,10,0
336,60,16,16,0
336,50,24,24,0
336,40,25,25,0
336,30,40,20,0
336,20,454,109,1
337,90,11,11,0
337,80,19,19,0
337,70,20,20,0
337,60,21,21,0
337,50,28,28,0
337,40,51,51,0
337,30,83,41,0
337,20,626,178,1
338,100,15,15,0
338,90,17,17,0
338,80,19,19,0
338,70,20,20,0
338,60,37,37,0
338,50,46,46,0
338,40,79,79,0
338,30,113,55,0
338,20,691,219,1
339,20,0,0,1
340,30,3,2,0
340,20,8,4,1
341,50,2,2,0
341,40,3,3,0
341,30,5,3,0
341,20,19,9,1
342,60,2,2,0
342,50,4,4,0
342,40,6,6,0
342,30,7,4,0
342,20,43,20,1
343,70,1,1,0
343,60,5,5,0
343,50,6,6,0
343,40,6,6,0
343,30,7,4,0
343,20,85,32,1
344,70,4,4,0
344,60,6,6,0
344,50,5,5,0
344,40,7,7,0
344,30,19,10,0
344,20,145,42,1
345,80,2,2,0
345,70,5,5,0
345,60,5,5,0
345,50,6,6,0
345,40,13,13,0
345,30,28,14,0
345,20,188,51,1
346,80,4,4,0
346,70,5,5,0
346,60,5,5,0
346,50,11,11,0
346,40,21,21,0
346,30,28,14,0
346,20,249,68,1
347,90,1,1,0
347,80,4,4,0
347,70,5,5,0
347,60,10,10,0
347,50,14,14,0
347,40,25,25,0
347,30,28,14,0
347,20,306,81,1
348,90,2,2,0
348,80,4,4,0
348,70,8,8,0
348,60,10,10,0
348,50,21,21,0
348,40,26,26,0
348,30,28,14,0
348,20,382,97,1
349,20,0,0,1
350,20,2,1,1
351,40,2,2,0
351,30,3,2,0
351,20,9,4,1
352,60,1,1,0
352,50,3,3,0
352,40,3,3,0
352,30,6,3,0
352,20,24,12,1
353,70,1,1,0
353,60,3,3,0
353,50,5,5,0
353,40,6,6,0
353,30,7,4,0
353,20,57,23,1
354,70,3,3,0
354,60,6,6,0
354,50,5,5,0
354,40,7,7,0
354,30,8,4,0
354,20,110,38,1
355,80,2,2,0
355,70,5,5,0
355,60,6,6,0
355,50,6,6,0
355,40,6,6,0
355,30,26,13,0
355,20,163,45,1
356,90,1,1,0
356,80,4,4,0
356,70,5,5,0
356,60,6,6,0
356,50,7,7,0
356,40,18,18,0
356,30,28,14,0
356,20,223,60,1
357,90,2,2,0
357,80,5,5,0
357,70,5,5,0
357,60,7,7,0
357,50,11,11,0
357,40,26,26,0
357,30,28,14,0
357,20,278,76,1
358,90,4,4,0
358,80,4,4,0
358,70,6,6,0
358,60,11,11,0
358,50,18,18,0
358,40,26,26,0
358,30,28,14,0
358,20,355,91,1
359,100,1,1,0
359,90,4,4,0
359,80,5,5,0
359,70,10,10,0
359,60,12,12,0
359,50,23,23,0
359,40,26,26,0
359,30,36,18,0
359,20,432,105,1
360,20,0,0,1
361,20,3,2,1
362,40,3,3,0
362,30,4,2,0
362,20,10,5,1
